Unnamed: 0,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,aucun,no
12,laisse,leash
14,ville,city
15,chaque,each
16,parlé,speak
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
23,revoir,meet again
24,aucune,any
25,place,square
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,écoute,listen
43,dont,whose
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
59,pardon,sorry
60,venez,come
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,aimerais,would like to
68,mari,husband
69,cause,cause
70,enfin,finally
71,espère,hope
72,eau,water
73,attendez,Wait
74,parti,left
75,nouvelle,new
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,compte,account
80,donne,given
81,loin,far
82,fin,end
83,croire,believe
84,chérie,sweetheart
85,gros,large
87,filles,girls
88,jouer,to play
89,bureau,office
